Team,Player #,Pos,Player,Player abbrev,GP,G,A,EV G,EV A,SOG,G/GP,A/GP,EV G/GP,EV A/GP,SOG/GP,EV +,EV -,EV GF %
Chicago Wolves,15,C,Jeremy Welsh,J. Welsh,35,9,10,5,7,66,0.26,0.29,0.14,0.20,1.89,19,17,0.53
Rochester Americans,34,D,Jerome Leduc,J. Leduc,36,2,2,1,1,49,0.06,0.06,0.03,0.03,1.36,12,19,0.39
Syracuse Crunch,11,RW,Jerome Samson,J. Samson,26,1,7,1,5,53,0.04,0.27,0.04,0.19,2.04,9,7,0.56
Rochester Americans,19,LW,Jerry D'Amigo,J. D'Amigo,37,4,4,3,3,47,0.11,0.11,0.08,0.08,1.27,12,11,0.52
Hartford Wolf Pack,27,RW,Jesper Fast,J. Fast,11,1,8,1,3,17,0.09,0.73,0.09,0.27,1.55,7,6,0.54
Lehigh Valley Phantoms,8,D,Jesper Pettersson,J. Pettersson,25,0,2,0,1,22,0.00,0.08,0.00,0.04,0.88,4,6,0.40
San Antonio Rampage,25,D,Jesse Blacker,J. Blacker,22,2,8,1,6,43,0.09,0.36,0.05,0.27,1.95,14,23,0.38
Bridgeport Sound Tigers,2,D,Jesse Graham,J. Graham,24,2,10,1,6,38,0.08,0.42,0.04,0.25,1.58,17,17,0.50
Texas Stars,21,C,Jesse Root,J. Root,19,2,5,2,5,34,0.11,0.26,0.11,0.26,1.79,9,9,0.50
Worcester Sharks,43,LW,Jimmy Bonneau,J. Bonneau,17,0,1,0,1,9,0.00,0.06,0.00,0.06,0.53,3,4,0.43
Milwaukee Admirals,47,D,Jimmy Oligny,J. Oligny,26,1,2,1,2,19,0.04,0.08,0.04,0.08,0.73,14,12,0.54
Utica Comets,30,G,Joacim Eriksson,J. Eriksson,21,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Rockford IceHogs,23,C,Joakim Nordstrom,J. Nordstrom,17,8,5,4,2,36,0.47,0.29,0.24,0.12,2.12,9,8,0.53
San Antonio Rampage,27,F,Joe Basaraba,J. Basaraba,20,0,1,0,1,23,0.00,0.05,0.00,0.05,1.15,4,5,0.44
Utica Comets,35,G,Joe Cannata,J. Cannata,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Albany Devils,32,D,Joe Faust,J. Faust,17,0,2,0,2,17,0.00,0.12,0.00,0.12,1.00,8,9,0.47
Hamilton Bulldogs,26,D,Joe Finley,J. Finley,32,0,3,0,2,23,0.00,0.09,0.00,0.06,0.72,14,19,0.42
Providence Bruins,7,D,Joe Morrow,J. Morrow,8,1,1,1,1,11,0.13,0.13,0.13,0.13,1.38,7,5,0.58
Milwaukee Admirals,22,C,Joe Pendenza,J. Pendenza,23,6,4,4,4,32,0.26,0.17,0.17,0.17,1.39,14,3,0.82
Milwaukee Admirals,7,D,Joe Piskula,J. Piskula,33,1,8,1,5,30,0.03,0.24,0.03,0.15,0.91,24,10,0.71
Chicago Wolves,14,D,Joe Sova,J. Sova,3,0,0,0,0,3,0.00,0.00,0.00,0.00,1.00,1,4,0.20
Albany Devils,9,LW,Joe Whitney,J. Whitney,32,13,19,8,9,85,0.41,0.59,0.25,0.28,2.66,24,15,0.62
Rochester Americans,33,RW,Joel Armia,J. Armia,23,8,10,3,7,64,0.35,0.43,0.13,0.30,2.78,12,8,0.60
Hershey Bears,19,C,Joel Broda,J. Broda,30,3,0,3,0,40,0.10,0.00,0.10,0.00,1.33,4,4,0.50
Grand Rapids Griffins,11,D,Joel Chouinard,J. Chouinard,1,0,0,0,0,2,0.00,0.00,0.00,0.00,2.00,0,0,-
Portland Pirates,23,D,Joel Hanley,J. Hanley,24,0,4,0,4,31,0.00,0.17,0.00,0.17,1.29,12,5,0.71
Iowa Wild,22,RW,Joel Rechlicz,J. Rechlicz,18,1,0,1,0,9,0.06,0.00,0.06,0.00,0.50,1,6,0.14
Syracuse Crunch,92,RW,Joel Vermin,J. Vermin,32,7,6,6,5,47,0.22,0.19,0.19,0.16,1.47,13,12,0.52
Hartford Wolf Pack,14,RW,Joey Crabb,J. Crabb,26,4,5,4,4,29,0.15,0.19,0.15,0.15,1.12,11,11,0.50
Lake Erie Monsters,38,C,Joey Hishon,J. Hishon,29,7,8,6,3,69,0.24,0.28,0.21,0.10,2.38,13,16,0.45
Hamilton Bulldogs,39,G,Joey MacDonald,J. MacDonald,15,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Syracuse Crunch,3,D,Joey Mormina,J. Mormina,18,1,8,1,6,28,0.06,0.44,0.06,0.33,1.56,9,5,0.64
Milwaukee Admirals,55,D,Johan Alm,J. Alm,21,0,5,0,5,9,0.00,0.24,0.00,0.24,0.43,12,14,0.46
Iowa Wild,31,G,Johan Gustafsson,J. Gustafsson,21,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Rochester Americans,26,LW,Johan Larsson,J. Larsson,27,8,15,6,6,67,0.30,0.56,0.22,0.22,2.48,14,10,0.58
Bridgeport Sound Tigers,28,C,Johan Sundstrom,J. Sundstrom,32,3,4,3,4,62,0.09,0.13,0.09,0.13,1.94,10,10,0.50
St. John's IceCaps,16,C,John Albert,J. Albert,37,10,15,8,12,78,0.27,0.41,0.22,0.32,2.11,24,20,0.55
